Name,Latitude,Longitude,Location,Location Details,Asset Type,Operations,Container Type,Volume(m^2),Weight Capacity
824,51.4863183,4.3049751,Service Point,ISN Ulu Bergen op zoom,Textile Container,Textile Collection,JoBa,2.909,250
823,51.4863183,4.3049751,Service Point,ISN Ulu Bergen op zoom,Textile Container,Textile Collection,JoBa,2.909,250
822,51.5681073,4.1966425,Service Point,OBS Die Heenetrecht,Textile Container,Textile Collection,JoBa,2.909,250
821,51.5973262,4.1026013,Service Point,School met de Bijbel,Textile Container,Textile Collection,JoBa,2.909,250
819,51.833921212061874,4.362969038745846,Service Point,Reinis - Hadewychplaats,Textile Container,Textile Collection,JoBa,2.909,250
818,51.833921212061874,4.362969038745846,Service Point,Reinis - Hadewychplaats,Textile Container,Textile Collection,JoBa,2.909,250
817,51.827993772336626,4.371531526955947,Service Point,Reinis - Selma Lagerlofstraat,Textile Container,Textile Collection,JoBa,2.909,250
816,51.8422101,4.324284,Service Point,Reinis- Weegschaal,Textile Container,Textile Collection,JoBa,2.909,250
815,51.83394938874332,4.319275830813388,Service Point,Reinis - Winterakker,Textile Container,Textile Collection,JoBa,2.909,250
814,51.83394938874332,4.319275830813388,Service Point,Reinis - Winterakker,Textile Container,Textile Collection,JoBa,2.909,250
813,51.8464440092623,4.321027646309493,Service Point,Reinis - Hoeklaan,Textile Container,Textile Collection,JoBa,2.909,250
812,51.84856076602424,4.327212538393855,Service Point,Reinis - Marrewijklaan,Textile Container,Textile Collection,JoBa,2.909,250
811,51.85344673869196,4.322405968733768,Service Point,Reinis - Groene Kruisweg,Textile Container,Textile Collection,JoBa,2.909,250
810,51.85404150213107,4.317020124354528,Service Point,Reinis - t Plateau,Textile Container,Textile Collection,JoBa,2.909,250
809,51.85404150213107,4.317020124354528,Service Point,Reinis - t Plateau,Textile Container,Textile Collection,JoBa,2.909,250
808,51.856440356764374,4.311247992420305,Service Point,Reinis - Rembrandstraat,Textile Container,Textile Collection,JoBa,2.909,250
807,51.86192,4.236245,Service Point,Reinis - Nico de Regtplein,Textile Container,Textile Collection,JoBa,2.909,250
806,51.86192,4.236245,Service Point,Reinis - Nico de Regtplein,Textile Container,Textile Collection,JoBa,2.909,250
805,51.86192,4.236245,Service Point,Reinis - Nico de Regtplein,Textile Container,Textile Collection,JoBa,2.909,250
804,51.86448006010209,4.244867779956719,Service Point,Reinis - Branderf,Textile Container,Textile Collection,JoBa,2.909,250
803,51.84811671101736,4.246557850594438,Service Point,Reinis - Gemeenlandsedijk Zuid,Textile Container,Textile Collection,JoBa,2.909,250
801,51.84811671101736,4.246557850594438,Service Point,Reinis - Gemeenlandsedijk Zuid,Textile Container,Textile Collection,JoBa,2.909,250
705,52.1504341,4.488054,Service Point,IBS Er Riseleh,Textile Container,Textile Collection,JoBa,2.909,250
704,52.1944582,4.47812,Service Point,Joris de Witte,Textile Container,Textile Collection,JoBa,2.909,250
703,52.29525049999999,4.6914988,Service Point,IKC Wereldwijs,Textile Container,Textile Collection,JoBa,2.909,250
702,52.342925,4.6238294,Service Point,Voorwegschool,Textile Container,Textile Collection,JoBa,2.909,250
701,52.36119129999999,4.8057827,Service Point,Stichting Milli Gorus Cafer-i Sadık,Textile Container,Textile Collection,JoBa,2.909,250
700,51.8602468,4.2927173,Service Point,Reinis - Milieustraat Mosterweg,Textile Container,Textile Collection,JoBa,2.909,250
699,51.8602468,4.2927173,Service Point,Reinis - Milieustraat Mosterweg,Textile Container,Textile Collection,JoBa,2.909,250
698,51.8602468,4.2927173,Service Point,Reinis - Milieustraat Mosterweg,Textile Container,Textile Collection,JoBa,2.909,250
697,51.8602468,4.2927173,Service Point,Reinis - Milieustraat Mosterweg,Textile Container,Textile Collection,JoBa,2.909,250
696,51.8602468,4.2927173,Service Point,Reinis - Milieustraat Mosterweg,Textile Container,Textile Collection,JoBa,2.909,250
695,51.9552418,4.8447243,Service Point,Krimpenerwaard - Bergambachterstraat 9,Textile Container,Textile Collection,JoBa,2.909,250
694,51.9552418,4.8447243,Service Point,Krimpenerwaard - Bergambachterstraat 9,Textile Container,Textile Collection,JoBa,2.909,250
693,51.9468234,4.8637059,Service Point,Krimpenerwaard - Vlierstraat 16,Textile Container,Textile Collection,JoBa,2.909,250
691,52.0100017,6.1431434,Service Point,ISN Anadolu Doesburg,Textile Container,Textile Collection,JoBa,2.909,250
690,51.946538,4.8584057,Service Point,Krimpenerwaard - Cellebroedersstraat 33,Textile Container,Textile Collection,JoBa,2.909,250
689,51.946538,4.8584057,Service Point,Krimpenerwaard - Cellebroedersstraat 33,Textile Container,Textile Collection,JoBa,2.909,250
688,51.946538,4.8584057,Service Point,Krimpenerwaard - Cellebroedersstraat 33,Textile Container,Textile Collection,JoBa,2.909,250
687,51.9269549,4.808883,Service Point,Krimpenerwaard - Kerkplein 4,Textile Container,Textile Collection,JoBa,2.909,250
686,51.8942916,4.6293647,Service Point,Krimpenerwaard - Gerard Doustraat 1,Textile Container,Textile Collection,JoBa,2.909,250
685,51.8942916,4.6293647,Service Point,Krimpenerwaard - Gerard Doustraat 1,Textile Container,Textile Collection,JoBa,2.909,250
684,51.8863989,5.4371692,Service Point,ISN Ahmet Yesevi Tiel,Textile Container,Textile Collection,JoBa,2.909,250
683,52.3462438,5.9978919,Service Point,ISN Hz. Omer Epe,Textile Container,Textile Collection,JoBa,2.909,250
682,52.3462438,5.9978919,Service Point,ISN Hz. Omer Epe,Textile Container,Textile Collection,JoBa,2.909,250
681,52.2101848,5.9714217,Service Point,Eyup Sultan Apeldoorn,Textile Container,Textile Collection,JoBa,2.909,250
680,52.2072184,5.9626591,Service Point,Moskee Assalaam Apeldoorn,Textile Container,Textile Collection,JoBa,2.909,250
679,52.2604285,6.1609146,Service Point,ISN Merkez Deventer,Textile Container,Textile Collection,JoBa,2.909,250
678,52.2604285,6.1609146,Service Point,ISN Merkez Deventer,Textile Container,Textile Collection,JoBa,2.909,250
677,52.2604285,6.1609146,Service Point,ISN Merkez Deventer,Textile Container,Textile Collection,JoBa,2.909,250
674,52.049624,6.1060873,Service Point,ISN Selimiye Dieren,Textile Container,Textile Collection,JoBa,2.909,250
673,52.049624,6.1060873,Service Point,ISN Selimiye Dieren,Textile Container,Textile Collection,JoBa,2.909,250
669,51.486702,5.448727,Service Point,De Achtbaan Calaislaan,Textile Container,Textile Collection,JoBa,2.909,250
668,52.1707166,5.3923404,Service Point,GBS de Regenboog,Textile Container,Textile Collection,JoBa,2.909,250
664,52.0100017,6.1431434,Service Point,ISN Anadolu Doesburg,Textile Container,Textile Collection,JoBa,2.909,250
659,52.3443539,5.6437204,Service Point,ISN Harderwijk,Textile Container,Textile Collection,JoBa,2.909,250
658,52.3443539,5.6437204,Service Point,ISN Harderwijk,Textile Container,Textile Collection,JoBa,2.909,250
654,52.1376085,5.0171836,Service Point,Wereldkidz Bontenest,Textile Container,Textile Collection,JoBa,2.909,250
648,52.3139158,4.6904426,Service Point,ISN Hoofddorp,Textile Container,Textile Collection,JoBa,2.909,250
647,52.3414896,4.6232919,Service Point,Stichting Sein Heemstede,Textile Container,Textile Collection,JoBa,2.909,250
645,52.0756242,4.6653929,Service Point,Basisschool de Akker,Textile Container,Textile Collection,JoBa,2.909,250
643,52.2453357,5.3598023,Service Point,Moskee Haci Bayram Bunschoten,Textile Container,Textile Collection,JoBa,2.909,250
639,51.7270279,5.4362384,Service Point,Basisschool de Hoogakker,Textile Container,Textile Collection,JoBa,2.909,250
638,51.7270279,5.4362384,Service Point,Basisschool de Hoogakker,Textile Container,Textile Collection,JoBa,2.909,250
636,52.1421415,6.1994413,Service Point,ISN Barbaros Zutphen,Textile Container,Textile Collection,JoBa,2.909,250
633,52.3443539,5.6437204,Service Point,ISN Harderwijk,Textile Container,Textile Collection,JoBa,2.909,250
631,52.3367556,5.6298904,Service Point,S.B.B.H Harderwijk,Textile Container,Textile Collection,JoBa,2.909,250
630,52.523793,6.0905608,Service Point,ISN Ulu Zwolle,Textile Container,Textile Collection,JoBa,2.909,250
