Service Point Name,Operations,Latitude,Longitude,Address,Location Details,total_capacity_kg,Service Point_x,total_kg,avg_kg,total_bags,avg_bags,Service Point_y,tasks_per_week,weekly_fill_pct,avg_fill_pct,container_count
KC De Notenbalk,Textile Collection,51.8203858,4.6071886,"26b, Bazuinstraat, Heer Oudelands' Ambacht, Zwijndrecht, South Holland, Netherlands, 3335 DD, Netherlands",0,0.0,KC De Notenbalk,5968.62,153.04153846153847,1321.0,32.21951219512195,KC De Notenbalk,1.050656660412758,1.0,1.0,0
Nehemia Zwijndrecht,Textile Collection,51.8164121,4.6325857,"Nehemia Ministries, H.A. Lorentzstraat, Develpoort, Zwijndrecht, South Holland, Netherlands, 3331 EE, Netherlands",0,0.0,Nehemia Zwijndrecht,1197.52,133.05777777777777,256.0,28.444444444444443,Nehemia Zwijndrecht,0.23639774859287055,1.0,1.0,0
ISN Barbaros Zutphen,Textile Collection,52.1421415,6.1994413,"Barbaros Islamitische Stichting, 6, David Evekinkstraat, Waterkwartier, De Hoven, Zutphen, Gelderland, Netherlands, 7201 BT, Netherlands",ISN Barbaros Zutphen,750.0,ISN Barbaros Zutphen,14659.710000000001,407.2141666666667,2667.0,72.08108108108108,ISN Barbaros Zutphen,0.9587242026266417,1.0,0.5429522222222223,3
IKC De Triangel,Textile Collection,52.0663529,4.5186324,"De Triangel, 33, Vlasakker, Segwaert, Zoetermeer, South Holland, Netherlands, 2723 TP, Netherlands",IKC De Triangel,250.0,IKC De Triangel,4717.29,127.49432432432432,1056.0,26.4,IKC De Triangel,1.0112570356472796,1.0,0.5099772972972973,1
ISN Oranje Kultur Merkezi Zoetermeer,Textile Collection,52.0515756,4.5018787,"Islamitische Stichting Nederland / Oranje Cultureel Centrum Zoetermeer, Schoolstraat, Palenstein, Zoetermeer, South Holland, Netherlands, 2712 VC, Netherlands",ISN Oranje Kultur Merkezi Zoetermeer,250.0,ISN Oranje Kultur Merkezi Zoetermeer,19112.45,254.83266666666668,4125.0,52.88461538461539,ISN Oranje Kultur Merkezi Zoetermeer,2.0093808630393997,1.0,1.0,1
Kindcentrum Koningskwartier,Textile Collection,52.00859088,4.592824696,"Koning Willem-Alexanderlaan 261, 2761 JP Zevenhuizen, Netherlands",Kindcentrum Koningskwartier,250.0,Kindcentrum Koningskwartier,4979.37,131.03605263157894,1079.0,26.975,Kindcentrum Koningskwartier,1.024390243902439,1.0,0.5241442105263158,1
Stichting Europa Oost-Turkistan Educatie Centrum,Textile Collection,52.0918602,5.2408904,"Nojz Creatieve Communicatie, 163, Van Reenenweg, Zeist, Utrecht, Netherlands, 3702 SJ, Netherlands",Stichting Europa Oost-Turkistan Educatie Centrum,500.0,Stichting Europa Oost-Turkistan Educatie Centrum,32723.96,218.15973333333332,5904.0,39.09933774834437,Stichting Europa Oost-Turkistan Educatie Centrum,3.953095684803002,1.0,0.43631946666666666,2
Coop Bremmer,Textile Collection,52.1155298,4.8362011,"3, Middenweg, Zegveld, Woerden, Utrecht, Netherlands, 3474 KC, Netherlands",Coop Bremmer,250.0,Coop Bremmer,7193.16,194.40972972972972,1320.0,33.84615384615385,Coop Bremmer,0.9981238273921201,1.0,0.7776389189189189,1
Mili Gorus Zaandam,Textile Collection,52.440218,4.8291171,"1, Steve Bikoplein, Zaandam, Zaanstad, North Holland, Netherlands, 1501 PX, Netherlands",Mili Gorus Zaandam,500.0,Mili Gorus Zaandam,12026.71,160.35613333333333,2602.0,34.23684210526316,Mili Gorus Zaandam,1.9831144465290809,1.0,0.3207122666666667,2
SWS De Wereldweide,Textile Collection,52.1696802,4.633164,"SWS De Wereldweide, van Hoogstratenlaan, Woubrugge, Kaag en Braassem, South Holland, Netherlands, 2481 XC, Netherlands",0,0.0,SWS De Wereldweide,3511.65,92.41184210526316,626.0,16.05128205128205,SWS De Wereldweide,1.0112570356472796,1.0,1.0,0
