Date,Operation,Service Point,Material,Actual Amount (Item),Item UOM
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Pleinstraat 9,Bag Number,53.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Potgieterstraat 1,Bag Number,25.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Rozenlaan 1,Bag Number,19.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Vlierstraat 16,Bag Number,23.0,pcs
2024-01-03 00:00:00,Textile Collection,Krimpenerwaard - Weidelaan 1,Bag Number,21.0,pcs
2024-01-03 00:00:00,Textile Collection,Kringloop Maasdijk,Bag Number,12.0,pcs
2024-01-03 00:00:00,Textile Collection,Kringloop Zeeland Serooskerke,Bag Number,24.0,pcs
2024-01-03 00:00:00,Textile Collection,MGR Bekkerschool Spijkenisse,Bag Number,40.0,pcs
2024-01-03 00:00:00,Textile Collection,Moskee Arrahma Den Bosch,Bag Number,36.0,pcs
2024-01-03 00:00:00,Textile Collection,Moskee en Nour,Bag Number,25.0,pcs
2024-01-03 00:00:00,Textile Collection,Obs De Singel Vlaardingen,Bag Number,14.0,pcs
2024-01-03 00:00:00,Textile Collection,OBS De Tiende Penning,Bag Number,2.0,pcs
2024-01-03 00:00:00,Textile Collection,OBS Die Heenetrecht,Bag Number,3.0,pcs
2024-01-03 00:00:00,Textile Collection,OBS Klimop Vlaardingen,Bag Number,12.0,pcs
2024-01-03 00:00:00,Textile Collection,OKC de Reiger,Bag Number,8.0,pcs
2024-01-03 00:00:00,Textile Collection,Omnisschool de Meidoorn,Bag Number,5.0,pcs
2024-01-03 00:00:00,Textile Collection,Reinis - Milieustraat Mosterweg,Bag Number,416.0,pcs
2024-01-03 00:00:00,Textile Collection,Retourette/AH Schiedam,Bag Number,74.0,pcs
2024-01-03 00:00:00,Textile Collection,Samenwerkingsschool De Pelikaan,Bag Number,5.0,pcs
2024-01-03 00:00:00,Textile Collection,School met de Bijbel,Bag Number,2.0,pcs
2024-01-03 00:00:00,Textile Collection,Stichting Masjid El Fath,Bag Number,29.0,pcs
2024-01-03 00:00:00,Textile Collection,Stichting Turkse Gemeenschap Mevlana Eindhoven,Bag Number,15.0,pcs
2024-01-03 00:00:00,Textile Collection,Stichting Ummet Vlaardingen,Bag Number,15.0,pcs
2024-01-03 00:00:00,Textile Collection,Stichting Vluchtelingkinderen Driebergen,Bag Number,165.0,pcs
2024-01-03 00:00:00,Textile Collection,Van Dijckschool,Bag Number,13.0,pcs
2024-01-03 00:00:00,Textile Collection,Vereniging N.T.O. Spijkenisse,Bag Number,15.0,pcs
2024-01-03 00:00:00,Textile Collection,Verkoopschuur Grijpskerke Kringloop,Bag Number,80.0,pcs
2024-01-03 00:00:00,Textile Collection,Willem Farelschool,Bag Number,0.0,pcs
2024-01-03 00:00:00,Textile Collection,Aldi Nieuwerkerk,Bag Weight,91.85,kg
2024-01-03 00:00:00,Textile Collection,Archipelschool De Omnibus,Bag Weight,60.35,kg
2024-01-03 00:00:00,Textile Collection,Archipelschool Het Element,Bag Weight,54.31,kg
2024-01-03 00:00:00,Textile Collection,Archipelschool Tweemaster-kameleon,Bag Weight,60.35,kg
2024-01-03 00:00:00,Textile Collection,Basisschool Stellegors,Bag Weight,120.7,kg
2024-01-03 00:00:00,Textile Collection,Bergpadschool,Bag Weight,30.17,kg
2024-01-03 00:00:00,Textile Collection,BS Willibrordus Esch,Bag Weight,357.64,kg
2024-01-03 00:00:00,Textile Collection,CBS Het Anker,Bag Weight,12.29,kg
2024-01-03 00:00:00,Textile Collection,Coop Bremmer,Bag Weight,178.57,kg
2024-01-03 00:00:00,Textile Collection,De Achtbaan Caenlaan,Bag Weight,209.48,kg
2024-01-03 00:00:00,Textile Collection,De Achtbaan Calaislaan,Bag Weight,0.0,kg
2024-01-03 00:00:00,Textile Collection,De Brielse Veste,Bag Weight,30.17,kg
2024-01-03 00:00:00,Textile Collection,De Langstee,Bag Weight,36.21,kg
2024-01-03 00:00:00,Textile Collection,De Lonneboot,Bag Weight,30.17,kg
2024-01-03 00:00:00,Textile Collection,De Talisman,Bag Weight,204.37,kg
2024-01-03 00:00:00,Textile Collection,De Vier Heemskinderen,Bag Weight,61.31,kg
2024-01-03 00:00:00,Textile Collection,Dierentehuis 's-Hertogenbosch,Bag Weight,209.48,kg
2024-01-03 00:00:00,Textile Collection,Emmaus Eindhoven,Bag Weight,143.06,kg
2024-01-03 00:00:00,Textile Collection,GBS de Regenboog,Bag Weight,76.53,kg
2024-01-03 00:00:00,Textile Collection,Gezamenlijke scholen Brielle,Bag Weight,42.24,kg
2024-01-03 00:00:00,Textile Collection,IKC Takkenbosse,Bag Weight,6.03,kg
